Filters,Transfer,Bitrate
0,15.5,6.64
500,16.7,7.18
1000,16.5,7.1
1500,10.4,4.45
2000,8.8,3.78
2500,8.19,3.52
3000,8.7,3.74
3500,10.5,4.53
4000,11.1,4.75
4500,14.0,6.02
5000,13.9,5.98
5500,12.5,5.37
6000,12.1,5.22
6500,12.3,5.3
7000,11.5,4.94
7500,16.4,7.02
8000,13.1,5.64
8500,14.4,6.2
9000,10.3,4.44
9500,12.9,5.53
10000,12.9,5.53
10500,14.8,6.36
11000,12.6,5.39
11500,13.7,5.9
12000,14.6,6.27
12500,15.0,6.45
13000,13.1,5.62
13500,14.4,6.16
14000,14.7,6.32
14500,13.9,5.98
15000,13.7,5.87
15500,13.2,5.68
16000,12.2,5.25
16500,9.79,4.21
17000,12.7,5.43
17500,9.54,4.1
18000,7.45,3.2
18500,6.97,2.99
19000,10.9,4.7
19500,5.59,2.4
20000,5.14,2.21
20500,6.15,2.64
21000,5.87,2.52
21500,5.08,2.18
22000,4.84,2.08
22500,5.64,2.42
23000,4.85,2.08
23500,4.92,2.11
24000,4.33,1.86
24500,4.99,2.14
25000,3.83,1.64
25500,3.69,1.59
26000,4.19,1.8
26500,4.45,1.91
27000,2.94,1.26
27500,3.1,1.33
28000,3.92,1.69
28500,3.34,1.44
29000,2.62,1.12
29500,2.82,1.21
30000,3.36,1.44
30500,2.86,1.23
31000,2.78,1.19
31500,0.00214,0.92
32000,3.16,1.36
32500,0.00212,0.912
33000,0.0017900000000000001,0.768
33500,0.0016899999999999999,0.725
34000,2.78,1.19
34500,0.00174,0.747
35000,0.00138,0.591
35500,0.00163,0.701
36000,0.00128,0.549
36500,0.0010500000000000002,0.453
37000,0.00114,0.489
37500,0.00159,0.684
38000,2.33,1.0
38500,0.00116,0.497
39000,0.942,0.395
39500,0.00165,0.708
40000,0.00151,0.647
40500,0.872,0.366
41000,0.0010500000000000002,0.453
41500,0.00134,0.574
42000,0.949,0.398
42500,0.00149,0.64
43000,0.94,0.394
43500,0.979,0.411
44000,0.985,0.413
44500,0.00136,0.583
45000,0.974,0.409
45500,0.00103,0.442
46000,0.754,0.316
46500,0.00127,0.547
47000,0.907,0.38
47500,0.00109,0.467
48000,0.774,0.325
48500,0.0011,0.474
49000,0.804,0.337
49500,0.877,0.368
50000,0.779,0.327
50500,1.017,0.427
51000,0.816,0.342
51500,0.842,0.353
52000,0.728,0.305
52500,0.891,0.374
53000,0.858,0.36
53500,0.756,0.317
54000,0.773,0.324
54500,0.779,0.327
55000,0.862,0.362
55500,0.674,0.283
56000,0.777,0.326
56500,0.642,0.269
57000,0.948,0.398
57500,0.676,0.284
58000,0.757,0.318
58500,0.584,0.245
59000,0.782,0.328
59500,0.634,0.266
60000,0.653,0.274
60500,0.574,0.241
61000,0.676,0.284
61500,0.694,0.291
62000,0.643,0.27
62500,0.629,0.264
63000,0.621,0.26
63500,0.645,0.271
64000,0.581,0.244
64500,0.626,0.263
65000,0.587,0.246
65500,0.601,0.252
