Filters,Min Latency,Avg Latency,Max Latency
0,0.281,0.326,0.481
500,0.3,0.398,0.544
1000,0.392,0.454,0.513
1500,0.366,0.468,0.52
2000,0.432,0.524,0.599
2500,0.417,0.529,0.585
3000,0.537,0.628,0.732
3500,0.56,0.668,0.74
4000,0.522,0.656,0.748
4500,0.628,0.738,0.84
5000,0.622,0.781,1.203
5500,0.53,0.786,0.888
6000,0.713,0.84,0.934
6500,0.8,0.898,1.084
7000,0.685,0.897,1.004
7500,0.75,0.971,1.1
8000,0.873,1.02,1.251
8500,0.961,1.101,1.558
9000,1.006,1.107,1.201
9500,0.892,1.094,1.342
10000,1.032,1.179,1.28
10500,1.115,1.255,1.397
11000,0.828,1.213,1.441
11500,0.959,1.227,1.393
12000,1.229,1.318,1.574
12500,1.151,1.345,1.546
13000,1.131,1.318,1.515
13500,1.297,1.512,2.394
14000,1.416,1.586,2.218
14500,1.363,1.479,1.698
15000,1.369,1.557,1.759
15500,1.507,1.664,1.918
16000,1.447,1.614,1.738
16500,1.504,1.612,1.892
17000,1.271,1.726,1.945
17500,1.679,1.787,1.989
18000,1.612,1.769,1.999
18500,1.649,1.773,2.021
19000,1.59,1.888,2.178
19500,1.794,1.926,2.137
20000,1.384,1.856,2.114
20500,1.829,2.049,2.286
21000,1.884,2.078,2.308
21500,1.596,2.095,2.338
22000,1.867,1.994,2.401
22500,1.918,2.201,2.799
23000,2.13,2.233,2.372
23500,1.554,2.188,2.462
24000,1.984,2.199,2.547
24500,2.022,2.324,2.614
25000,2.128,2.444,2.712
25500,1.834,2.297,2.639
26000,2.077,2.317,2.652
26500,2.202,2.503,2.749
27000,2.328,2.535,2.9
27500,2.199,2.393,2.819
28000,2.357,2.545,2.927
28500,2.505,2.695,2.925
29000,2.305,2.716,3.034
29500,2.418,2.59,2.897
30000,2.493,2.769,3.142
30500,2.547,2.841,3.196
31000,2.122,2.792,3.344
31500,2.465,2.729,3.192
32000,2.742,3.01,3.391
32500,2.722,2.955,3.382
33000,2.721,2.975,3.476
33500,2.714,3.03,3.615
34000,2.745,3.111,3.339
34500,2.977,3.236,3.865
35000,2.76,3.056,3.525
35500,2.812,3.1,3.519
36000,3.031,3.371,3.787
36500,3.077,3.488,4.07
37000,2.863,3.203,4.161
37500,2.964,3.282,3.775
38000,3.198,3.467,4.182
38500,3.187,3.65,3.985
39000,2.891,3.263,3.755
39500,3.042,3.477,4.084
40000,3.239,3.673,4.179
40500,3.334,3.735,4.429
41000,3.302,3.649,4.09
41500,3.236,3.63,3.976
42000,3.28,3.651,4.101
42500,2.782,3.744,4.217
43000,3.306,3.743,4.459
43500,3.322,3.773,4.659
44000,3.399,3.838,4.453
44500,3.175,3.98,4.674
45000,3.41,3.937,4.643
45500,3.657,3.967,4.313
46000,3.55,3.852,4.389
46500,3.501,4.073,4.584
47000,3.576,4.042,4.457
47500,3.379,4.08,4.452
48000,3.637,4.064,4.929
48500,3.097,4.184,4.527
49000,3.791,4.177,4.705
49500,3.836,4.321,4.711
50000,3.812,4.259,5.008
50500,3.867,4.378,4.785
51000,3.97,4.312,4.722
51500,4.161,4.6,4.985
52000,3.983,4.372,4.987
52500,4.139,4.449,5.017
53000,4.03,4.545,5.329
53500,4.254,4.508,4.706
54000,4.087,4.405,4.798
54500,3.885,4.389,4.945
55000,4.291,4.656,5.574
55500,4.38,4.694,5.237
56000,4.147,4.537,4.948
56500,4.242,4.665,5.382
57000,4.41,4.646,5.043
57500,4.351,4.706,5.402
58000,4.458,4.922,5.374
58500,4.279,4.869,5.369
59000,4.476,4.869,5.383
59500,4.381,5.0,7.144
60000,4.691,5.102,5.694
60500,4.402,4.937,5.839
61000,4.769,5.069,5.687
61500,4.706,5.199,5.829
62000,4.827,5.131,5.708
62500,4.2,5.0,6.017
63000,4.74,5.18,6.898
63500,4.768,5.092,5.527
64000,4.863,5.334,5.887
64500,4.705,5.263,6.319
65000,4.789,5.384,6.049
65500,4.613,5.207,5.683
