Filters,Transfer,Bitrate
0,14.5,6.24
500,17.1,7.35
1000,11.9,5.12
1500,7.51,3.22
2000,7.42,3.18
2500,6.76,2.9
3000,7.61,3.27
3500,8.49,3.65
4000,9.2,3.95
4500,10.4,4.48
5000,14.2,6.09
5500,13.0,5.57
6000,12.7,5.47
6500,9.64,4.14
7000,12.8,5.49
7500,10.7,4.58
8000,13.9,5.98
8500,10.6,4.54
9000,11.3,4.86
9500,12.9,5.54
10000,10.3,4.42
10500,13.5,5.81
11000,9.65,4.14
11500,9.69,4.16
12000,11.7,5.01
12500,11.0,4.72
13000,13.7,5.9
13500,14.6,6.26
14000,13.9,5.97
14500,13.0,5.56
15000,15.4,6.62
15500,14.2,6.12
16000,14.7,6.32
16500,12.7,5.45
17000,11.9,5.1
17500,13.2,5.69
18000,9.48,4.07
18500,12.6,5.42
19000,11.3,4.85
19500,8.8,3.78
20000,7.92,3.4
20500,7.97,3.42
21000,6.13,2.63
21500,5.57,2.39
22000,5.53,2.38
22500,5.46,2.34
23000,4.72,2.03
23500,5.05,2.17
24000,4.49,1.93
24500,4.76,2.04
25000,4.52,1.94
25500,4.17,1.79
26000,4.24,1.82
26500,4.04,1.74
27000,3.88,1.67
27500,3.91,1.68
28000,3.56,1.53
28500,3.69,1.58
29000,3.3,1.42
29500,3.18,1.36
30000,3.22,1.38
30500,3.01,1.29
31000,3.33,1.43
31500,2.94,1.26
32000,2.93,1.26
32500,2.83,1.21
33000,3.1,1.33
33500,2.96,1.27
34000,3.1,1.33
34500,2.87,1.23
35000,2.85,1.22
35500,2.73,1.17
36000,2.55,1.09
36500,2.5,1.07
37000,2.5,1.07
37500,0.00231,0.993
38000,0.00226,0.972
38500,0.00215,0.922
39000,0.00214,0.921
39500,0.00214,0.917
40000,0.0020299999999999997,0.873
40500,0.00199,0.855
41000,0.0018,0.774
41500,0.00189,0.813
42000,0.0019199999999999998,0.823
42500,0.00191,0.82
43000,0.0018700000000000001,0.801
43500,0.00181,0.777
44000,0.00165,0.709
44500,0.00188,0.809
45000,0.00191,0.821
45500,0.0018700000000000001,0.803
46000,0.00177,0.761
46500,0.0016799999999999999,0.721
47000,0.00171,0.732
47500,0.00172,0.74
48000,0.00161,0.69
48500,0.00161,0.691
49000,0.00161,0.691
49500,0.00157,0.676
50000,0.0015,0.645
50500,0.0015400000000000001,0.659
51000,0.00148,0.635
51500,0.00148,0.634
52000,0.00138,0.594
52500,0.0010400000000000001,0.449
53000,0.0011200000000000001,0.48
53500,0.00107,0.458
54000,0.00109,0.469
54500,0.0010400000000000001,0.445
55000,0.00107,0.458
55500,0.0010400000000000001,0.445
56000,0.0010500000000000002,0.451
56500,1.023,0.429
57000,0.00101,0.436
57500,1.012,0.424
58000,0.99,0.415
58500,0.997,0.418
59000,0.988,0.414
59500,0.938,0.393
60000,0.936,0.393
60500,0.94,0.394
61000,0.902,0.378
61500,0.924,0.387
62000,0.899,0.377
62500,0.915,0.384
63000,0.867,0.364
63500,0.831,0.349
64000,0.857,0.36
64500,0.819,0.343
65000,0.847,0.355
65500,0.83,0.348
