Filters,Min Latency,Avg Latency,Max Latency
0,0.384,0.456,0.732
500,0.394,0.433,0.533
1000,0.428,0.461,0.549
1500,0.472,0.512,0.611
2000,0.52,0.613,0.777
2500,0.536,0.649,0.796
3000,0.575,0.643,0.803
3500,0.601,0.675,0.781
4000,0.567,0.716,0.766
4500,0.641,0.809,0.923
5000,0.607,0.769,0.853
5500,0.692,0.878,0.953
6000,0.814,0.903,1.053
6500,0.799,0.925,1.054
7000,0.865,0.972,1.136
7500,0.885,1.052,1.228
8000,0.857,1.012,1.84
8500,0.977,1.079,1.224
9000,1.003,1.107,1.192
9500,0.983,1.067,1.192
10000,0.979,1.106,1.236
10500,1.001,1.169,1.311
11000,1.044,1.228,1.388
11500,1.116,1.31,1.427
12000,1.16,1.231,1.325
12500,1.223,1.312,1.419
13000,1.22,1.311,1.423
13500,1.23,1.355,1.483
14000,1.253,1.455,1.563
14500,1.22,1.408,1.567
15000,1.402,1.506,1.599
15500,1.448,1.533,1.686
16000,1.323,1.506,1.624
16500,1.452,1.598,1.766
17000,1.484,1.658,1.94
17500,1.57,1.675,1.811
18000,1.517,1.701,1.834
18500,1.576,1.736,1.922
19000,1.597,1.79,1.913
19500,1.702,1.852,2.02
20000,1.727,1.844,2.284
20500,1.634,1.806,2.051
21000,1.752,1.851,1.965
21500,1.832,1.939,2.089
22000,1.843,1.947,2.076
22500,1.908,2.04,2.228
23000,1.695,1.981,2.117
23500,1.974,2.073,2.193
24000,1.97,2.089,2.208
24500,1.956,2.21,3.369
25000,2.067,2.176,2.274
25500,2.112,2.233,2.381
26000,2.043,2.301,4.391
26500,2.129,2.313,2.461
27000,2.127,2.281,2.48
27500,2.161,2.32,2.452
28000,2.266,2.462,2.633
28500,2.264,2.374,2.535
29000,2.302,2.458,2.641
29500,2.305,2.415,2.531
30000,2.319,2.567,4.318
30500,2.363,2.51,2.672
31000,2.482,2.625,2.755
31500,2.495,2.611,2.809
32000,2.504,2.607,2.726
32500,2.673,2.825,3.05
33000,2.548,2.665,2.881
33500,2.598,2.76,2.951
34000,2.601,2.819,3.105
34500,2.678,2.784,3.016
35000,2.697,2.879,3.055
35500,2.766,2.93,3.15
36000,2.768,2.911,3.062
36500,2.772,2.971,3.3
37000,2.807,3.023,3.312
37500,2.852,3.059,3.248
38000,2.805,2.965,3.242
38500,2.957,3.257,5.817
39000,1.933,3.032,3.281
39500,2.891,3.121,3.288
40000,3.022,3.208,3.398
40500,3.038,3.202,3.35
41000,3.089,3.193,3.389
41500,3.071,3.279,3.586
42000,3.072,3.303,3.793
42500,3.18,3.553,3.874
43000,3.15,3.379,3.594
43500,3.254,3.421,3.725
44000,3.321,3.536,3.807
44500,3.292,3.436,3.693
45000,3.036,3.41,3.586
45500,2.999,3.489,3.67
46000,3.397,3.583,3.818
46500,3.282,3.633,3.892
47000,3.091,3.578,3.977
47500,3.399,3.657,3.823
48000,3.52,3.824,4.223
48500,3.426,3.717,3.978
49000,3.601,3.807,3.993
49500,3.365,3.789,4.019
50000,3.682,4.117,4.472
50500,3.634,3.823,4.035
51000,3.716,3.889,4.108
51500,3.764,3.983,4.253
52000,3.72,3.915,4.108
52500,3.871,4.052,4.216
53000,3.951,4.197,4.534
53500,3.818,4.148,4.411
54000,3.967,4.223,4.388
54500,4.046,4.251,4.463
55000,4.042,4.258,4.445
55500,4.057,4.348,4.725
56000,3.956,4.29,5.238
56500,4.406,4.694,4.966
57000,4.291,4.481,4.88
57500,4.223,4.529,5.138
58000,4.276,4.545,4.842
58500,4.153,4.477,5.01
59000,4.377,4.6,4.828
59500,4.302,4.597,4.965
60000,4.505,4.977,6.556
60500,4.307,4.517,4.793
61000,4.484,4.709,4.967
61500,4.619,5.108,5.496
62000,4.519,4.819,5.826
62500,4.555,4.869,5.138
63000,4.724,5.059,8.736
63500,4.576,4.952,5.259
64000,4.447,4.867,5.23
64500,4.469,4.979,5.377
65000,4.675,4.956,5.177
65500,4.759,4.951,5.363
