Filters,Transfer,Bitrate
1,44.1,19.0
500,36.6,15.7
1000,38.6,16.6
1500,44.4,19.1
2000,41.9,18.0
2500,34.7,14.9
3000,31.5,13.5
3500,30.4,13.0
4000,27.1,11.7
4500,24.8,10.6
5000,23.4,10.0
5500,21.3,9.14
6000,20.2,8.66
6500,19.3,8.28
7000,19.6,8.43
7500,17.8,7.64
8000,16.7,7.17
8500,15.8,6.78
9000,16.6,7.14
9500,14.7,6.32
10000,12.6,5.4
10500,13.7,5.9
11000,13.2,5.68
11500,13.3,5.69
12000,11.8,5.09
12500,11.7,5.04
13000,11.0,4.71
13500,11.0,4.73
14000,10.4,4.48
14500,10.0,4.31
15000,9.71,4.17
15500,10.1,4.33
16000,9.65,4.15
16500,8.93,3.84
17000,9.02,3.87
17500,8.82,3.79
18000,8.61,3.7
18500,8.56,3.68
19000,8.24,3.54
19500,8.06,3.46
20000,7.81,3.35
20500,7.67,3.29
21000,7.6,3.27
21500,7.37,3.17
22000,7.22,3.1
22500,7.06,3.03
23000,6.89,2.96
23500,6.44,2.76
24000,6.5,2.79
24500,6.44,2.77
25000,6.37,2.74
25500,6.22,2.67
26000,6.11,2.62
26500,5.83,2.51
27000,5.91,2.54
27500,5.67,2.43
28000,5.52,2.37
28500,5.42,2.33
29000,5.28,2.27
29500,5.32,2.28
30000,5.19,2.23
30500,5.09,2.18
31000,5.0,2.15
31500,4.82,2.07
32000,4.6,1.97
32500,4.84,2.08
33000,4.67,2.01
33500,4.62,1.99
34000,4.53,1.95
34500,4.57,1.96
35000,4.37,1.88
35500,4.25,1.83
36000,4.2,1.8
36500,4.03,1.73
37000,3.78,1.62
37500,3.77,1.62
38000,3.6,1.55
38500,3.62,1.55
39000,3.49,1.5
39500,3.48,1.49
40000,3.3,1.42
40500,3.24,1.39
41000,3.06,1.32
41500,3.04,1.3
42000,2.63,1.13
42500,2.97,1.28
43000,2.84,1.22
43500,2.54,1.09
44000,2.47,1.06
44500,2.36,1.02
45000,0.00226,0.973
45500,0.0020800000000000003,0.895
46000,0.00186,0.797
46500,0.002,0.859
47000,0.00197,0.844
47500,0.00189,0.81
48000,0.00183,0.787
48500,0.00171,0.736
49000,0.00164,0.703
49500,0.00164,0.705
50000,0.00148,0.637
50500,0.00145,0.624
51000,0.0013,0.556
51500,0.0012900000000000001,0.555
52000,0.00125,0.538
52500,0.00107,0.46
53000,0.0011200000000000001,0.479
53500,0.00111,0.479
54000,0.0010500000000000002,0.451
54500,1.012,0.424
55000,0.948,0.398
55500,0.823,0.345
56000,0.844,0.354
56500,0.827,0.347
57000,0.838,0.352
57500,0.829,0.348
58000,0.798,0.335
58500,0.722,0.303
59000,0.782,0.328
59500,0.702,0.294
60000,0.675,0.283
60500,0.672,0.282
61000,0.63,0.264
61500,0.651,0.273
62000,0.636,0.267
62500,0.591,0.248
63000,0.531,0.223
63500,0.556,0.233
64000,0.534,0.224
64500,0.507,0.213
65000,0.5,0.21
65500,0.438,0.184
65534,0.482,0.202
