Filters,Transfer,Bitrate
1,44.1,18.9
500,36.3,15.6
1000,38.3,16.5
1500,39.6,17.0
2000,39.3,16.9
2500,44.7,19.2
3000,40.8,17.5
3500,37.5,16.1
4000,34.8,15.0
4500,31.3,13.4
5000,33.8,14.5
5500,29.3,12.6
6000,33.5,14.4
6500,30.6,13.1
7000,34.1,14.6
7500,33.5,14.4
8000,33.7,14.5
8500,31.8,13.7
9000,34.6,14.9
9500,34.3,14.7
10000,34.3,14.8
10500,29.3,12.6
11000,31.5,13.5
11500,29.4,12.6
12000,31.5,13.5
12500,31.8,13.7
13000,31.5,13.5
13500,28.9,12.4
14000,30.8,13.2
14500,30.1,12.9
15000,32.5,13.9
15500,31.6,13.6
16000,31.3,13.4
16500,30.4,13.0
17000,30.7,13.2
17500,32.1,13.8
18000,30.8,13.2
18500,34.3,14.7
19000,33.5,14.4
19500,30.1,12.9
20000,29.7,12.7
20500,32.1,13.8
21000,32.4,13.9
21500,31.3,13.4
22000,29.2,12.5
22500,32.0,13.7
23000,31.2,13.4
23500,30.3,13.0
24000,34.2,14.7
24500,31.4,13.5
25000,31.3,13.5
25500,31.2,13.4
26000,31.0,13.3
26500,32.2,13.8
27000,29.3,12.6
27500,30.2,13.0
28000,31.6,13.6
28500,34.2,14.7
29000,32.5,14.0
29500,32.5,14.0
30000,31.6,13.6
30500,33.3,14.3
31000,31.9,13.7
31500,33.5,14.4
32000,32.0,13.7
32500,29.2,12.5
33000,31.6,13.6
33500,30.9,13.3
34000,34.4,14.8
34500,30.2,13.0
35000,34.7,14.9
35500,31.7,13.6
36000,32.0,13.8
36500,30.8,13.2
37000,29.2,12.5
37500,32.2,13.8
38000,30.7,13.2
38500,31.7,13.6
39000,33.4,14.4
39500,31.3,13.4
40000,32.1,13.8
40500,31.6,13.6
41000,34.7,14.9
41500,32.6,14.0
42000,31.3,13.4
42500,31.8,13.7
43000,30.4,13.1
43500,34.5,14.8
44000,33.8,14.5
44500,31.7,13.6
45000,32.8,14.1
45500,33.7,14.5
46000,31.0,13.3
46500,30.1,12.9
47000,29.2,12.5
47500,31.1,13.4
48000,29.5,12.7
48500,31.6,13.6
49000,30.3,13.0
49500,31.4,13.5
50000,34.4,14.8
50500,31.7,13.6
51000,36.6,15.7
51500,32.0,13.7
52000,29.4,12.6
52500,30.4,13.1
53000,30.1,12.9
53500,30.9,13.3
54000,30.5,13.1
54500,33.7,14.5
55000,31.8,13.7
55500,30.3,13.0
56000,31.8,13.6
56500,31.0,13.3
57000,32.2,13.8
57500,31.9,13.7
58000,30.8,13.2
58500,30.9,13.3
59000,30.9,13.3
59500,31.2,13.4
60000,32.9,14.1
60500,30.2,13.0
61000,31.9,13.7
61500,31.9,13.7
62000,30.4,13.0
62500,31.6,13.6
63000,31.0,13.3
63500,31.6,13.6
64000,31.7,13.6
64500,33.4,14.4
65000,30.5,13.1
65500,31.7,13.6
65534,30.1,12.9
