Filters,Transfer,Bitrate
1,10.5,4.52
500,10.5,4.51
1000,10.6,4.56
1500,10.5,4.51
2000,10.5,4.5
2500,10.5,4.51
3000,10.6,4.54
3500,10.5,4.51
4000,10.5,4.51
4500,10.5,4.5
5000,10.5,4.5
5500,10.6,4.55
6000,10.6,4.55
6500,10.6,4.55
7000,10.5,4.49
7500,10.6,4.55
8000,10.5,4.52
8500,10.5,4.52
9000,10.6,4.53
9500,10.5,4.53
10000,10.6,4.54
10500,10.5,4.53
11000,10.6,4.57
11500,10.6,4.54
12000,10.6,4.56
12500,10.7,4.58
13000,10.5,4.52
13500,10.5,4.53
14000,10.5,4.51
14500,10.6,4.55
15000,10.4,4.47
15500,10.6,4.55
16000,10.5,4.5
16500,10.6,4.57
17000,10.6,4.54
17500,10.5,4.51
18000,10.7,4.58
18500,10.6,4.57
19000,10.5,4.52
19500,10.5,4.51
20000,10.5,4.51
20500,10.6,4.55
21000,10.5,4.53
21500,10.5,4.5
22000,10.5,4.51
22500,10.6,4.54
23000,10.6,4.53
23500,10.6,4.55
24000,10.6,4.55
24500,10.6,4.55
25000,10.6,4.57
25500,10.5,4.5
26000,11.7,5.04
26500,10.5,4.52
27000,10.6,4.57
27500,10.6,4.56
28000,10.5,4.5
28500,10.5,4.52
29000,10.5,4.5
29500,10.5,4.51
30000,10.6,4.55
30500,10.6,4.53
31000,10.5,4.52
31500,10.6,4.54
32000,10.5,4.5
32500,10.6,4.55
33000,10.5,4.52
33500,10.5,4.52
34000,10.6,4.53
34500,10.5,4.5
35000,10.5,4.5
35500,10.5,4.52
36000,10.5,4.51
36500,10.5,4.51
37000,10.6,4.54
37500,10.5,4.51
38000,11.8,5.06
38500,10.5,4.53
39000,11.3,4.86
39500,10.5,4.52
40000,10.5,4.52
40500,10.5,4.52
41000,10.6,4.53
41500,10.6,4.54
42000,10.4,4.48
42500,10.5,4.52
43000,10.4,4.47
43500,10.5,4.52
44000,10.6,4.53
44500,10.6,4.56
45000,10.5,4.5
45500,10.5,4.5
46000,10.5,4.5
46500,10.5,4.51
47000,10.6,4.56
47500,10.5,4.52
48000,10.5,4.53
48500,10.5,4.51
49000,10.6,4.53
49500,10.6,4.53
50000,10.6,4.55
50500,10.6,4.56
51000,10.5,4.52
51500,10.6,4.53
52000,10.5,4.52
52500,10.6,4.55
53000,10.5,4.49
53500,10.5,4.51
54000,10.6,4.55
54500,10.5,4.52
55000,10.6,4.53
55500,10.6,4.54
56000,10.5,4.49
56500,10.4,4.48
57000,10.6,4.54
57500,10.6,4.55
58000,10.6,4.57
58500,10.6,4.55
59000,10.6,4.56
59500,10.6,4.55
60000,10.5,4.51
60500,10.6,4.53
61000,10.5,4.51
61500,10.6,4.54
62000,10.6,4.54
62500,10.5,4.5
63000,10.6,4.55
63500,10.5,4.51
64000,10.5,4.51
64500,10.5,4.53
65000,10.5,4.49
65500,10.6,4.53
65534,10.6,4.54
