Filters,Transfer,Bitrate
1,10.4,4.49
500,10.4,4.49
1000,10.5,4.5
1500,10.6,4.55
2000,10.6,4.54
2500,9.17,3.94
3000,9.88,4.24
3500,12.1,5.21
4000,16.9,7.25
4500,15.7,6.75
5000,16.3,7.02
5500,14.4,6.17
6000,12.9,5.53
6500,12.5,5.39
7000,11.0,4.73
7500,11.3,4.85
8000,10.8,4.65
8500,10.8,4.66
9000,10.5,4.5
9500,9.99,4.29
10000,9.51,4.08
10500,8.93,3.84
11000,8.44,3.63
11500,8.29,3.56
12000,7.9,3.39
12500,7.67,3.29
13000,7.38,3.17
13500,6.93,2.98
14000,6.9,2.96
14500,6.57,2.82
15000,6.44,2.77
15500,6.17,2.65
16000,6.06,2.6
16500,5.85,2.51
17000,5.62,2.41
17500,5.49,2.36
18000,5.41,2.32
18500,5.29,2.27
19000,5.13,2.2
19500,4.98,2.14
20000,4.85,2.08
20500,4.82,2.07
21000,4.72,2.03
21500,4.57,1.96
22000,4.48,1.93
22500,4.35,1.87
23000,4.29,1.84
23500,4.19,1.8
24000,4.1,1.76
24500,4.0,1.72
25000,3.91,1.68
25500,3.84,1.65
26000,3.81,1.64
26500,3.71,1.59
27000,3.66,1.57
27500,3.6,1.55
28000,3.54,1.52
28500,3.48,1.49
29000,3.42,1.47
29500,3.35,1.44
30000,3.34,1.43
30500,3.29,1.41
31000,3.33,1.43
31500,3.34,1.44
32000,3.36,1.44
32500,3.37,1.45
33000,3.36,1.44
33500,3.36,1.44
34000,3.32,1.43
34500,3.34,1.43
35000,3.35,1.44
35500,3.32,1.42
36000,3.26,1.4
36500,3.32,1.42
37000,3.35,1.44
37500,3.33,1.43
38000,3.31,1.42
38500,3.32,1.42
39000,3.29,1.41
39500,3.3,1.42
40000,3.32,1.43
40500,3.32,1.43
41000,3.31,1.42
41500,3.33,1.43
42000,3.28,1.41
42500,3.34,1.43
43000,3.34,1.43
43500,3.36,1.44
44000,3.33,1.43
44500,3.34,1.43
45000,3.31,1.42
45500,3.31,1.42
46000,3.31,1.42
46500,3.32,1.43
47000,3.29,1.41
47500,3.37,1.45
48000,3.3,1.42
48500,3.34,1.43
49000,3.37,1.45
49500,3.32,1.42
50000,3.32,1.43
50500,3.32,1.43
51000,3.27,1.4
51500,3.32,1.42
52000,3.33,1.43
52500,3.35,1.44
53000,3.3,1.42
53500,3.35,1.44
54000,3.31,1.42
54500,3.35,1.44
55000,3.28,1.41
55500,3.31,1.42
56000,3.32,1.42
56500,3.34,1.44
57000,3.33,1.43
57500,3.32,1.42
58000,3.28,1.41
58500,3.35,1.44
59000,3.34,1.43
59500,3.34,1.43
60000,3.33,1.43
60500,3.33,1.43
61000,3.33,1.43
61500,3.32,1.43
62000,3.32,1.43
62500,3.32,1.42
63000,3.32,1.43
63500,3.31,1.42
64000,3.34,1.44
64500,3.29,1.41
65000,3.35,1.44
65500,3.3,1.42
65534,3.29,1.41
