Filters,Transfer,Bitrate
1,10.6,4.53
500,10.5,4.49
1000,10.5,4.49
1500,10.5,4.52
2000,10.2,4.39
2500,9.44,4.05
3000,8.86,3.8
3500,9.39,4.03
4000,16.6,7.14
4500,16.3,7.01
5000,16.4,7.04
5500,14.6,6.26
6000,13.2,5.65
6500,12.8,5.5
7000,12.2,5.23
7500,11.0,4.71
8000,10.0,4.3
8500,9.58,4.11
9000,9.19,3.95
9500,8.44,3.62
10000,8.03,3.45
10500,7.62,3.27
11000,8.75,3.76
11500,8.29,3.56
12000,8.22,3.53
12500,7.85,3.37
13000,7.34,3.15
13500,7.07,3.03
14000,6.96,2.99
14500,6.73,2.89
15000,6.41,2.75
15500,6.36,2.73
16000,6.08,2.61
16500,6.04,2.59
17000,5.87,2.52
17500,5.49,2.36
18000,5.53,2.38
18500,5.34,2.29
19000,5.22,2.24
19500,5.1,2.19
20000,4.91,2.11
20500,4.83,2.08
21000,4.73,2.03
21500,4.65,2.0
22000,4.52,1.94
22500,4.41,1.9
23000,4.32,1.85
23500,4.32,1.86
24000,4.15,1.78
24500,3.96,1.7
25000,3.94,1.69
25500,3.87,1.66
26000,3.79,1.63
26500,3.72,1.6
27000,3.63,1.56
27500,3.56,1.53
28000,3.53,1.51
28500,3.49,1.5
29000,3.43,1.47
29500,3.38,1.45
30000,3.32,1.43
30500,3.27,1.4
31000,3.22,1.38
31500,3.16,1.36
32000,3.07,1.32
32500,3.05,1.31
33000,3.02,1.3
33500,2.96,1.27
34000,2.88,1.24
34500,2.89,1.24
35000,2.84,1.22
35500,2.78,1.2
36000,2.71,1.16
36500,2.7,1.16
37000,2.64,1.14
37500,2.62,1.13
38000,2.57,1.11
38500,2.52,1.08
39000,2.48,1.07
39500,2.44,1.05
40000,2.37,1.02
40500,2.35,1.01
41000,2.34,1.01
41500,0.00227,0.973
42000,0.0022299999999999998,0.959
42500,0.0022,0.947
43000,0.00214,0.92
43500,0.00211,0.906
44000,0.00209,0.899
44500,0.00206,0.883
45000,0.00204,0.874
45500,0.00198,0.848
46000,0.00195,0.839
46500,0.0019399999999999999,0.834
47000,0.0019,0.817
47500,0.00186,0.798
48000,0.00183,0.786
48500,0.0017900000000000001,0.77
49000,0.00176,0.756
49500,0.00173,0.741
50000,0.0016899999999999999,0.724
50500,0.0016699999999999998,0.718
51000,0.00163,0.698
51500,0.0016,0.689
52000,0.00159,0.683
52500,0.00156,0.669
53000,0.0015300000000000001,0.659
53500,0.00149,0.641
54000,0.00145,0.621
54500,0.0014199999999999998,0.61
55000,0.0014199999999999998,0.61
55500,0.00138,0.592
56000,0.00135,0.581
56500,0.00135,0.578
57000,0.00133,0.571
57500,0.0012900000000000001,0.553
58000,0.00127,0.543
58500,0.00125,0.538
59000,0.00121,0.519
59500,0.0012,0.516
60000,0.00116,0.499
60500,0.00115,0.495
61000,0.00115,0.496
61500,0.0011,0.474
62000,0.0011200000000000001,0.481
62500,0.00109,0.466
63000,0.00107,0.46
63500,0.0010500000000000002,0.452
64000,0.0010400000000000001,0.445
64500,0.00103,0.441
65000,0.001,0.43
65500,0.00101,0.434
65534,1.003,0.421
