Filters,Min Latency,Avg Latency,Max Latency
0,0.378,0.473,0.55
1,0.336,0.452,0.495
500,0.41,0.552,0.716
1000,0.525,0.599,0.67
1500,0.462,0.641,0.738
2000,0.517,0.777,0.94
2500,0.739,0.799,0.863
3000,0.53,0.838,0.937
3500,0.601,0.866,0.967
4000,0.674,0.943,1.024
4500,0.759,0.976,1.067
5000,0.801,1.061,1.14
5500,0.44,1.06,1.173
6000,1.101,1.179,1.223
6500,0.552,1.197,1.329
7000,0.957,1.258,1.321
7500,1.011,1.355,1.572
8000,1.173,1.39,1.459
8500,1.148,1.455,1.603
9000,1.473,1.578,1.725
9500,0.829,1.529,1.711
10000,0.931,1.587,1.71
10500,0.991,1.646,1.781
11000,0.875,1.661,1.835
11500,0.7,1.676,1.854
12000,1.235,1.81,1.935
12500,0.941,2.083,6.447
13000,0.978,1.866,2.109
13500,0.901,1.911,2.157
14000,0.86,1.959,2.083
14500,0.903,2.074,2.661
15000,1.32,2.09,2.869
15500,1.106,2.118,2.344
16000,1.105,2.154,2.352
16500,1.282,2.212,2.323
17000,1.568,2.183,2.315
17500,1.215,2.233,2.394
18000,1.299,2.247,2.385
18500,1.174,2.322,2.582
19000,1.602,2.397,2.542
19500,1.351,2.387,2.555
20000,1.326,2.48,2.786
20500,1.341,2.489,2.689
21000,1.751,2.565,2.727
21500,1.781,2.572,2.724
22000,1.534,2.591,2.77
22500,1.672,2.64,2.774
23000,1.539,2.674,2.852
23500,1.749,2.727,2.872
24000,1.546,2.814,3.093
24500,1.696,2.805,2.99
25000,1.776,2.83,3.066
25500,1.85,2.926,3.169
26000,2.062,2.954,3.161
26500,2.255,2.988,3.081
27000,1.863,2.986,3.199
27500,2.087,3.056,3.267
28000,2.527,3.165,3.42
28500,2.245,3.138,3.323
29000,2.301,3.144,3.325
29500,2.111,3.218,3.374
30000,2.158,3.327,5.191
30500,2.126,3.204,3.4
31000,2.111,3.203,3.482
31500,1.945,3.176,3.424
32000,1.869,3.21,3.649
32500,2.208,3.226,3.409
33000,2.08,3.223,3.455
33500,2.166,3.203,3.37
34000,2.174,3.212,3.385
34500,2.277,3.189,3.436
35000,2.357,3.24,3.392
35500,2.282,3.234,3.511
36000,2.391,3.318,3.656
36500,2.193,3.205,3.39
37000,1.899,3.181,3.377
37500,2.062,3.237,3.387
38000,2.219,3.2,3.36
38500,2.119,3.301,3.616
39000,2.061,3.28,4.778
39500,1.856,3.138,3.3
40000,2.964,3.223,3.349
40500,1.992,3.244,3.449
41000,2.122,3.32,3.674
41500,2.063,3.213,3.388
42000,2.906,3.247,3.435
42500,2.068,3.231,3.4
43000,2.126,3.269,3.518
43500,2.924,3.29,3.593
44000,3.114,3.292,3.798
44500,1.97,3.197,3.378
45000,2.187,3.253,3.419
45500,2.872,3.22,3.432
46000,2.126,3.202,3.431
46500,2.103,3.204,3.409
47000,1.858,3.175,3.387
47500,2.284,3.23,3.455
48000,2.355,3.238,3.447
48500,2.01,3.237,3.586
49000,2.061,3.244,3.423
49500,2.121,3.255,3.423
50000,2.326,3.236,3.38
50500,1.994,3.244,3.39
51000,2.112,3.179,3.562
51500,2.386,3.208,3.583
52000,2.13,3.227,3.421
52500,2.156,3.257,3.449
53000,2.168,3.218,3.501
53500,2.031,3.261,3.582
54000,1.991,3.218,3.497
54500,2.161,3.234,3.386
55000,2.117,3.2,3.343
55500,2.486,3.223,3.431
56000,2.115,3.272,3.465
56500,2.253,3.285,3.425
57000,2.257,3.236,3.456
57500,2.264,3.272,3.49
58000,2.566,3.235,3.392
58500,2.184,3.31,3.614
59000,2.197,3.228,3.423
59500,2.151,3.253,3.439
60000,2.339,3.241,3.419
60500,2.101,3.193,3.41
61000,2.091,3.235,3.465
61500,2.381,3.22,3.363
62000,2.113,3.232,3.412
62500,2.101,3.242,3.418
63000,2.123,3.21,3.412
63500,2.245,3.229,3.42
64000,2.047,3.139,3.541
64500,2.071,3.246,3.511
65000,2.044,3.2,3.408
65500,2.024,3.176,3.359
65534,2.125,3.185,3.452
