Filters,Min Latency,Avg Latency,Max Latency
0,0.274,0.4,0.486
1,0.292,0.378,0.559
500,0.398,0.488,0.552
1000,0.473,0.566,0.929
1500,0.239,0.525,0.649
2000,0.51,0.65,0.895
2500,0.356,0.668,0.797
3000,0.628,0.787,0.922
3500,0.67,0.783,0.929
4000,0.557,0.82,0.923
4500,0.822,0.967,1.129
5000,0.846,0.967,1.128
5500,0.707,0.965,1.107
6000,0.803,1.096,1.283
6500,0.834,1.243,1.349
7000,1.318,1.436,1.595
7500,1.214,1.549,2.251
8000,1.541,1.656,2.01
8500,1.25,1.657,2.196
9000,1.526,1.684,1.832
9500,1.567,1.798,2.648
10000,1.68,1.81,1.952
10500,1.4,1.828,2.001
11000,1.794,1.931,2.249
11500,1.029,1.652,1.825
12000,0.893,1.67,1.755
12500,0.871,1.619,1.777
13000,1.288,1.776,1.888
13500,0.886,1.659,1.896
14000,1.125,1.675,2.048
14500,1.064,1.736,2.044
15000,1.345,1.723,1.924
15500,1.054,1.872,2.099
16000,1.258,1.808,2.04
16500,1.221,1.809,2.067
17000,1.235,1.961,2.347
17500,1.11,1.923,2.162
18000,1.247,2.019,2.208
18500,1.376,2.06,2.25
19000,1.413,2.085,2.278
19500,1.473,2.067,2.365
20000,1.389,2.16,2.382
20500,1.334,2.15,2.364
21000,1.565,2.323,2.752
21500,1.517,2.312,2.504
22000,1.365,2.366,2.54
22500,1.448,2.455,2.884
23000,1.364,2.307,2.598
23500,1.442,2.431,2.828
24000,1.606,2.659,2.972
24500,1.522,2.735,2.876
25000,1.764,2.823,3.177
25500,2.259,2.814,3.054
26000,1.756,2.848,3.08
26500,2.068,2.964,3.111
27000,1.93,2.952,3.102
27500,1.946,2.978,3.131
28000,1.918,3.027,3.173
28500,2.021,2.976,3.155
29000,2.089,3.086,3.456
29500,2.275,3.075,3.23
30000,1.988,3.108,3.348
30500,2.227,3.189,3.448
31000,2.331,3.194,3.376
31500,2.565,3.287,3.491
32000,2.338,3.34,3.553
32500,2.356,3.36,3.57
33000,2.103,3.427,3.769
33500,2.372,3.437,3.634
34000,2.523,3.452,3.739
34500,2.425,3.467,3.789
35000,2.382,3.522,3.76
35500,2.475,3.558,3.795
36000,2.539,3.639,3.887
36500,2.567,3.668,3.91
37000,2.79,3.793,4.188
37500,2.794,3.761,3.948
38000,2.601,3.661,3.845
38500,2.868,3.808,4.144
39000,2.843,3.893,4.095
39500,2.681,3.926,4.306
40000,2.934,3.943,4.191
40500,3.069,3.966,4.17
41000,3.06,4.039,4.341
41500,2.871,4.016,4.229
42000,3.183,4.081,4.4
42500,2.963,4.039,4.357
43000,2.969,4.122,4.359
43500,3.201,4.223,4.675
44000,3.194,4.215,4.469
44500,3.286,4.251,4.465
45000,3.4,4.26,4.71
45500,3.743,4.386,4.641
46000,3.391,4.417,4.809
46500,3.946,4.368,4.618
47000,3.361,4.317,4.935
47500,3.545,4.525,4.744
48000,3.974,4.555,4.806
48500,3.679,4.674,4.999
49000,3.746,4.622,4.817
49500,4.004,4.607,4.849
50000,3.69,4.735,5.027
50500,3.829,4.783,5.103
51000,3.92,4.817,5.151
51500,4.076,4.783,5.029
52000,3.807,4.825,5.051
52500,4.329,4.924,5.139
53000,4.039,4.914,5.24
53500,3.548,4.931,5.472
54000,3.244,4.846,5.219
54500,4.133,4.981,5.379
55000,4.678,5.053,5.288
55500,4.118,5.051,5.309
56000,4.106,5.235,5.65
56500,4.28,5.208,5.517
57000,4.356,5.361,8.449
57500,4.618,5.346,7.052
58000,4.76,5.293,5.536
58500,4.386,5.263,5.773
59000,4.429,5.304,5.598
59500,4.599,5.36,5.67
60000,4.806,5.47,5.914
60500,4.618,5.413,5.784
61000,4.733,5.516,5.909
61500,5.33,5.525,5.879
62000,5.021,5.597,5.829
62500,4.841,5.603,5.848
63000,4.763,5.692,5.941
63500,4.912,5.804,5.997
64000,4.923,5.759,6.051
64500,4.592,5.747,5.992
65000,5.173,5.722,6.076
65500,5.489,5.884,6.159
65534,5.026,5.868,6.316
