Filters,Min Latency,Avg Latency,Max Latency
0,0.208,0.223,0.262
1,0.159,0.19,0.208
500,0.22,0.258,0.299
1000,0.25,0.285,0.341
1500,0.26,0.268,0.296
2000,0.243,0.266,0.288
2500,0.289,0.304,0.398
3000,0.305,0.324,0.448
3500,0.304,0.32,0.497
4000,0.324,0.345,0.535
4500,0.323,0.338,0.445
5000,0.339,0.353,0.397
5500,0.338,0.354,0.455
6000,0.328,0.339,0.419
6500,0.322,0.337,0.396
7000,0.344,0.356,0.448
7500,0.329,0.343,0.439
8000,0.332,0.341,0.373
8500,0.329,0.344,0.474
9000,0.345,0.36,0.447
9500,0.338,0.372,0.574
10000,0.334,0.359,0.513
10500,0.337,0.369,0.527
11000,0.338,0.363,0.491
11500,0.331,0.351,0.377
12000,0.343,0.353,0.406
12500,0.33,0.344,0.481
13000,0.343,0.357,0.413
13500,0.345,0.376,0.469
14000,0.337,0.354,0.398
14500,0.332,0.372,0.838
15000,0.32,0.328,0.352
15500,0.329,0.342,0.445
16000,0.344,0.37,0.487
16500,0.316,0.33,0.44
17000,0.327,0.349,0.481
17500,0.325,0.348,0.654
18000,0.349,0.371,0.517
18500,0.326,0.346,0.473
19000,0.309,0.336,0.44
19500,0.321,0.335,0.357
20000,0.339,0.353,0.458
20500,0.321,0.333,0.44
21000,0.326,0.348,0.57
21500,0.344,0.364,0.461
22000,0.359,0.381,0.552
22500,0.319,0.335,0.512
23000,0.329,0.343,0.428
23500,0.318,0.331,0.357
24000,0.328,0.35,0.475
24500,0.341,0.352,0.383
25000,0.3,0.335,0.428
25500,0.328,0.346,0.481
26000,0.295,0.368,0.993
26500,0.304,0.331,0.372
27000,0.347,0.375,0.51
27500,0.323,0.346,0.576
28000,0.329,0.352,0.382
28500,0.334,0.352,0.405
29000,0.328,0.351,0.493
29500,0.324,0.334,0.353
30000,0.328,0.344,0.448
30500,0.332,0.345,0.464
31000,0.327,0.334,0.351
31500,0.332,0.34,0.364
32000,0.281,0.328,0.349
32500,0.36,0.377,0.457
33000,0.343,0.357,0.526
33500,0.342,0.356,0.498
34000,0.327,0.342,0.49
34500,0.34,0.362,0.408
35000,0.202,0.328,0.357
35500,0.298,0.325,0.342
36000,0.332,0.346,0.413
36500,0.35,0.376,0.477
37000,0.321,0.354,0.451
37500,0.317,0.339,0.461
38000,0.32,0.34,0.56
38500,0.347,0.367,0.543
39000,0.329,0.349,0.535
39500,0.328,0.354,0.551
40000,0.307,0.343,0.487
40500,0.306,0.347,0.554
41000,0.298,0.351,0.403
41500,0.318,0.339,0.507
42000,0.295,0.336,0.49
42500,0.335,0.344,0.381
43000,0.342,0.357,0.484
43500,0.247,0.332,0.358
44000,0.287,0.342,0.509
44500,0.306,0.332,0.371
45000,0.285,0.337,0.626
45500,0.335,0.364,0.508
46000,0.321,0.341,0.571
46500,0.32,0.327,0.344
47000,0.341,0.358,0.518
47500,0.326,0.34,0.47
48000,0.325,0.355,0.531
48500,0.351,0.361,0.399
49000,0.343,0.354,0.475
49500,0.332,0.353,0.593
50000,0.302,0.334,0.369
50500,0.301,0.34,0.55
51000,0.358,0.373,0.431
51500,0.322,0.344,0.549
52000,0.34,0.359,0.569
52500,0.341,0.348,0.371
53000,0.324,0.331,0.353
53500,0.349,0.369,0.56
54000,0.293,0.338,0.617
54500,0.326,0.37,1.06
55000,0.293,0.408,2.023
55500,0.303,0.34,0.54
56000,0.335,0.361,0.597
56500,0.339,0.358,0.611
57000,0.342,0.349,0.384
57500,0.35,0.372,0.587
58000,0.315,0.349,0.517
58500,0.32,0.394,1.628
59000,0.318,0.362,0.692
59500,0.321,0.342,0.592
60000,0.344,0.376,0.606
60500,0.306,0.426,2.006
61000,0.319,0.34,0.59
61500,0.334,0.366,0.75
62000,0.332,0.35,0.417
62500,0.333,0.381,0.636
63000,0.321,0.333,0.353
63500,0.33,0.347,0.599
64000,0.322,0.349,0.588
64500,0.33,0.356,0.575
65000,0.331,0.35,0.404
65500,0.33,0.352,0.602
65534,0.324,0.341,0.515
