Filters,Transfer,Bitrate
1,44.1,18.9
500,44.9,19.3
1000,43.8,18.8
1500,43.9,18.9
2000,46.2,19.8
2500,44.2,19.0
3000,43.9,18.8
3500,44.5,19.1
4000,44.6,19.2
4500,44.5,19.1
5000,44.5,19.1
5500,44.7,19.2
6000,44.1,19.0
6500,44.0,18.9
7000,44.9,19.3
7500,44.4,19.1
8000,45.1,19.3
8500,44.6,19.2
9000,44.0,18.9
9500,45.4,19.5
10000,43.9,18.8
10500,44.0,18.9
11000,44.1,18.9
11500,44.0,18.9
12000,44.6,19.1
12500,45.1,19.4
13000,44.1,19.0
13500,44.8,19.2
14000,43.9,18.9
14500,44.6,19.1
15000,44.6,19.2
15500,43.8,18.8
16000,45.0,19.3
16500,44.7,19.2
17000,45.2,19.4
17500,44.1,19.0
18000,44.0,18.9
18500,43.9,18.9
19000,43.1,18.5
19500,44.2,19.0
20000,44.3,19.0
20500,44.2,19.0
21000,44.0,18.9
21500,44.5,19.1
22000,44.5,19.1
22500,44.9,19.3
23000,44.6,19.1
23500,45.0,19.3
24000,43.7,18.8
24500,45.2,19.4
25000,44.1,19.0
25500,45.8,19.7
26000,44.1,19.0
26500,44.0,18.9
27000,43.9,18.8
27500,44.4,19.1
28000,44.1,18.9
28500,44.7,19.2
29000,44.1,18.9
29500,43.8,18.8
30000,44.1,18.9
30500,43.5,18.7
31000,42.9,18.4
31500,43.9,18.9
32000,43.7,18.8
32500,44.2,19.0
33000,44.1,19.0
33500,44.1,18.9
34000,43.9,18.9
34500,44.4,19.1
35000,43.8,18.8
35500,44.1,18.9
36000,44.3,19.0
36500,44.2,19.0
37000,43.7,18.8
37500,44.4,19.1
38000,44.4,19.1
38500,44.1,18.9
39000,43.8,18.8
39500,43.4,18.6
40000,44.0,18.9
40500,43.9,18.9
41000,44.2,19.0
41500,43.6,18.7
42000,43.9,18.8
42500,43.7,18.8
43000,43.8,18.8
43500,43.8,18.8
44000,44.9,19.3
44500,44.4,19.1
45000,44.6,19.1
45500,43.8,18.8
46000,44.5,19.1
46500,44.3,19.0
47000,44.3,19.0
47500,44.1,18.9
48000,44.1,19.0
48500,44.0,18.9
49000,43.5,18.7
49500,43.3,18.6
50000,43.8,18.8
50500,44.9,19.3
51000,43.4,18.6
51500,43.9,18.9
52000,44.0,18.9
52500,43.8,18.8
53000,43.2,18.6
53500,43.9,18.9
54000,44.0,18.9
54500,44.1,18.9
55000,43.4,18.7
55500,43.7,18.8
56000,44.4,19.1
56500,43.5,18.7
57000,43.5,18.7
57500,43.8,18.8
58000,43.5,18.7
58500,43.6,18.7
59000,43.7,18.8
59500,43.9,18.9
60000,43.9,18.8
60500,44.1,18.9
61000,43.9,18.8
61500,44.0,18.9
62000,43.5,18.7
62500,44.5,19.1
63000,44.4,19.1
63500,44.5,19.1
64000,43.8,18.8
64500,43.7,18.8
65000,43.8,18.8
65500,43.7,18.8
65534,43.4,18.6
