Filters,Transfer,Bitrate
1,43.8,18.8
500,36.9,15.9
1000,38.8,16.6
1500,43.6,18.7
2000,40.3,17.3
2500,34.5,14.8
3000,31.8,13.7
3500,29.4,12.6
4000,27.2,11.7
4500,25.2,10.8
5000,23.1,9.91
5500,21.6,9.29
6000,19.4,8.32
6500,19.3,8.29
7000,17.4,7.49
7500,17.7,7.59
8000,16.4,7.02
8500,16.2,6.97
9000,14.9,6.4
9500,14.0,6.03
10000,14.0,6.01
10500,13.1,5.62
11000,12.8,5.5
11500,12.8,5.51
12000,12.1,5.19
12500,11.2,4.79
13000,11.3,4.87
13500,11.2,4.81
14000,10.5,4.52
14500,10.6,4.54
15000,9.39,4.03
15500,9.79,4.21
16000,9.48,4.07
16500,9.32,4.0
17000,9.14,3.93
17500,8.46,3.63
18000,8.41,3.61
18500,8.39,3.6
19000,8.26,3.55
19500,7.78,3.34
20000,7.87,3.38
20500,7.45,3.2
21000,7.6,3.26
21500,7.4,3.18
22000,7.04,3.03
22500,6.83,2.94
23000,6.95,2.99
23500,6.6,2.83
24000,6.73,2.89
24500,6.58,2.82
25000,6.5,2.79
25500,5.7,2.45
26000,5.95,2.55
26500,6.07,2.61
27000,5.89,2.53
27500,5.92,2.54
28000,5.78,2.48
28500,5.55,2.38
29000,5.5,2.36
29500,5.53,2.37
30000,5.31,2.28
30500,5.35,2.3
31000,5.41,2.33
31500,5.44,2.34
32000,5.34,2.29
32500,5.35,2.3
33000,5.31,2.28
33500,5.21,2.24
34000,5.3,2.28
34500,5.24,2.25
35000,5.32,2.29
35500,5.28,2.27
36000,5.31,2.28
36500,4.78,2.06
37000,5.37,2.31
37500,5.33,2.29
38000,5.34,2.29
38500,5.37,2.31
39000,5.32,2.29
39500,5.36,2.3
40000,5.3,2.28
40500,5.27,2.26
41000,5.31,2.28
41500,5.25,2.25
42000,5.33,2.29
42500,5.4,2.32
43000,5.25,2.26
43500,5.21,2.24
44000,5.4,2.32
44500,5.39,2.31
45000,5.15,2.21
45500,5.31,2.28
46000,5.3,2.28
46500,5.29,2.27
47000,5.32,2.29
47500,5.35,2.3
48000,5.31,2.28
48500,5.33,2.29
49000,5.15,2.21
49500,4.98,2.14
50000,5.26,2.26
50500,5.2,2.23
51000,5.41,2.32
51500,5.36,2.3
52000,5.37,2.31
52500,5.19,2.23
53000,5.24,2.25
53500,5.39,2.31
54000,5.37,2.31
54500,5.34,2.29
55000,5.42,2.33
55500,5.4,2.32
56000,5.38,2.31
56500,5.3,2.28
57000,5.32,2.29
57500,5.3,2.28
58000,5.35,2.3
58500,5.09,2.19
59000,5.28,2.27
59500,5.31,2.28
60000,5.33,2.29
60500,5.25,2.25
61000,5.38,2.31
61500,5.25,2.26
62000,4.97,2.13
62500,5.17,2.22
63000,5.26,2.26
63500,5.18,2.23
64000,5.11,2.2
64500,5.4,2.32
65000,5.29,2.27
65500,5.25,2.25
65534,5.13,2.21
