Filters,Min Latency,Avg Latency,Max Latency
0,0.189,0.211,0.252
1,0.154,0.234,0.283
500,0.088,0.191,0.231
1000,0.145,0.195,0.224
1500,0.111,0.199,0.271
2000,0.152,0.204,0.23
2500,0.133,0.2,0.231
3000,0.19,0.223,0.261
3500,0.172,0.235,0.266
4000,0.139,0.219,0.262
4500,0.135,0.229,0.285
5000,0.145,0.198,0.236
5500,0.181,0.241,0.26
6000,0.184,0.2,0.23
6500,0.173,0.2,0.257
7000,0.163,0.199,0.245
7500,0.119,0.198,0.233
8000,0.133,0.198,0.255
8500,0.132,0.243,0.269
9000,0.143,0.201,0.236
9500,0.099,0.194,0.229
10000,0.102,0.19,0.217
10500,0.147,0.202,0.24
11000,0.087,0.201,0.238
11500,0.175,0.243,0.284
12000,0.186,0.2,0.246
12500,0.18,0.245,0.268
13000,0.081,0.199,0.23
13500,0.153,0.195,0.232
14000,0.1,0.197,0.23
14500,0.148,0.191,0.211
15000,0.188,0.208,0.251
15500,0.079,0.204,0.255
16000,0.106,0.201,0.225
16500,0.145,0.248,0.268
17000,0.146,0.274,1.65
17500,0.153,0.208,0.3
18000,0.133,0.205,0.256
18500,0.147,0.238,0.281
19000,0.138,0.208,0.334
19500,0.12,0.195,0.227
20000,0.151,0.202,0.238
20500,0.162,0.202,0.296
21000,0.186,0.201,0.263
21500,0.191,0.247,0.291
22000,0.131,0.193,0.227
22500,0.144,0.207,0.245
23000,0.114,0.216,0.237
23500,0.164,0.201,0.232
24000,0.175,0.201,0.23
24500,0.116,0.208,0.358
25000,0.193,0.219,0.235
25500,0.164,0.198,0.238
26000,0.115,0.198,0.224
26500,0.147,0.2,0.242
27000,0.1,0.198,0.221
27500,0.172,0.197,0.272
28000,0.09,0.19,0.226
28500,0.135,0.207,0.241
29000,0.139,0.211,0.247
29500,0.156,0.195,0.217
30000,0.192,0.239,0.284
30500,0.167,0.197,0.241
31000,0.096,0.205,0.247
31500,0.136,0.201,0.239
32000,0.127,0.238,0.269
32500,0.166,0.247,0.291
33000,0.133,0.199,0.231
33500,0.132,0.198,0.245
34000,0.167,0.246,0.288
34500,0.126,0.245,0.293
35000,0.116,0.194,0.233
35500,0.16,0.242,0.279
36000,0.139,0.205,0.23
36500,0.161,0.189,0.23
37000,0.143,0.19,0.217
37500,0.139,0.195,0.242
38000,0.133,0.202,0.232
38500,0.191,0.206,0.254
39000,0.105,0.22,0.257
39500,0.125,0.23,0.269
40000,0.137,0.199,0.261
40500,0.134,0.199,0.232
41000,0.179,0.198,0.228
41500,0.127,0.223,0.25
42000,0.094,0.198,0.235
42500,0.162,0.239,0.264
43000,0.137,0.201,0.233
43500,0.188,0.236,0.274
44000,0.187,0.209,0.26
44500,0.1,0.208,0.241
45000,0.175,0.199,0.245
45500,0.171,0.247,0.289
46000,0.097,0.197,0.231
46500,0.143,0.199,0.226
47000,0.148,0.195,0.226
47500,0.123,0.194,0.217
48000,0.131,0.199,0.234
48500,0.157,0.206,0.262
49000,0.186,0.207,0.249
49500,0.16,0.194,0.221
50000,0.157,0.244,0.28
50500,0.147,0.195,0.22
51000,0.121,0.235,0.258
51500,0.132,0.223,0.263
52000,0.074,0.213,0.246
52500,0.114,0.242,0.288
53000,0.138,0.192,0.219
53500,0.134,0.222,0.239
54000,0.127,0.205,0.231
54500,0.117,0.196,0.233
55000,0.161,0.204,0.243
55500,0.147,0.201,0.232
56000,0.18,0.233,0.256
56500,0.128,0.246,0.271
57000,0.175,0.246,0.305
57500,0.149,0.197,0.231
58000,0.14,0.189,0.214
58500,0.173,0.207,0.264
59000,0.149,0.203,0.244
59500,0.097,0.191,0.216
60000,0.17,0.206,0.263
60500,0.131,0.188,0.225
61000,0.144,0.198,0.233
61500,0.131,0.2,0.239
62000,0.158,0.203,0.232
62500,0.187,0.244,0.285
63000,0.14,0.195,0.23
63500,0.132,0.191,0.218
64000,0.102,0.196,0.238
64500,0.125,0.198,0.236
65000,0.128,0.237,0.287
65500,0.186,0.221,0.247
65534,0.119,0.201,0.221
