Filters,Min Latency,Avg Latency,Max Latency
0,0.218,0.228,0.252
1,0.128,0.193,0.229
500,0.226,0.248,0.266
1000,0.256,0.269,0.304
1500,0.261,0.304,0.342
2000,0.294,0.302,0.327
2500,0.305,0.323,0.551
3000,0.338,0.359,0.628
3500,0.332,0.362,0.757
4000,0.346,0.378,0.801
4500,0.375,0.392,0.538
5000,0.397,0.413,0.572
5500,0.375,0.426,0.567
6000,0.414,0.463,0.644
6500,0.438,0.46,0.7
7000,0.442,0.465,0.74
7500,0.461,0.488,0.725
8000,0.436,0.51,0.567
8500,0.518,0.55,0.852
9000,0.518,0.581,0.865
9500,0.527,0.559,0.855
10000,0.533,0.55,0.645
10500,0.529,0.572,0.842
11000,0.585,0.607,0.663
11500,0.6,0.61,0.636
12000,0.609,0.673,1.341
12500,0.636,0.675,1.141
13000,0.731,0.781,1.281
13500,0.748,0.818,1.742
14000,0.677,0.761,1.301
14500,0.676,0.721,1.228
15000,0.745,0.854,1.468
15500,0.74,0.886,1.612
16000,0.715,0.779,1.478
16500,0.759,0.9,1.366
17000,0.78,0.844,1.512
17500,0.876,0.928,1.499
18000,0.822,0.901,2.06
18500,0.856,0.918,1.164
19000,0.933,1.001,1.628
19500,0.891,0.994,2.117
20000,0.988,1.117,1.777
20500,1.009,1.042,1.149
21000,0.937,1.008,1.274
21500,0.896,1.064,2.126
22000,0.967,1.093,1.682
22500,0.999,1.155,1.307
23000,1.029,1.237,2.456
23500,1.199,1.355,2.591
24000,1.107,1.291,2.312
24500,1.035,1.162,1.382
25000,1.082,1.245,1.819
25500,1.091,1.463,3.021
26000,1.21,1.53,2.88
26500,1.09,1.438,4.186
27000,1.194,1.46,3.506
27500,1.19,1.507,3.045
28000,1.323,1.574,1.788
28500,1.318,1.633,2.947
29000,1.377,1.663,1.986
29500,1.552,1.947,3.504
30000,1.383,1.766,2.706
30500,1.333,1.695,2.74
31000,1.285,1.681,3.896
31500,1.472,1.816,3.302
32000,1.196,1.842,3.561
32500,1.355,1.75,3.131
33000,1.481,1.934,2.746
33500,1.286,1.723,2.789
34000,1.364,1.806,4.184
34500,1.503,1.855,3.444
35000,1.417,1.761,2.016
35500,1.373,1.771,2.291
36000,1.326,1.769,2.478
36500,1.51,1.867,2.856
37000,1.276,1.731,2.663
37500,1.463,1.819,4.193
38000,1.332,1.686,2.839
38500,1.56,2.013,3.608
39000,1.386,1.805,2.241
39500,1.486,1.878,2.859
40000,1.376,1.732,1.987
40500,1.456,1.884,4.257
41000,1.382,2.007,3.619
41500,1.326,1.763,3.511
42000,1.414,1.839,2.946
42500,1.529,1.957,4.517
43000,1.528,1.956,3.596
43500,1.522,1.981,3.068
44000,1.442,1.814,4.417
44500,1.35,1.862,3.447
45000,1.362,1.81,3.108
45500,1.287,1.9,4.755
46000,1.388,1.881,3.857
46500,1.46,1.928,4.156
47000,1.597,1.945,2.369
47500,1.39,1.909,5.319
48000,1.496,2.0,3.429
48500,1.339,1.799,3.807
49000,1.348,1.885,4.348
49500,1.342,1.852,4.244
50000,1.494,1.912,2.244
50500,1.386,1.931,4.645
51000,1.353,1.962,4.718
51500,1.307,1.819,4.953
52000,1.303,1.66,2.101
52500,1.635,2.229,4.91
53000,1.302,1.851,4.396
53500,1.414,1.908,4.623
54000,1.464,1.867,4.441
54500,1.477,1.897,2.243
55000,1.495,2.017,5.134
55500,1.347,1.9,4.639
56000,1.405,1.9,4.019
56500,1.331,1.873,4.755
57000,1.381,1.954,4.166
57500,1.549,1.966,2.338
58000,1.607,2.063,4.531
58500,1.398,2.006,4.847
59000,1.371,1.957,4.086
59500,1.504,2.057,4.643
60000,1.307,1.715,4.271
60500,1.386,1.987,5.103
61000,1.352,1.848,5.054
61500,1.387,1.849,2.291
62000,1.59,2.034,5.212
62500,1.338,1.812,2.019
63000,1.374,1.945,4.476
63500,1.416,1.954,4.691
64000,1.526,1.921,2.103
64500,1.414,1.904,5.008
65000,1.423,1.973,5.017
65500,1.446,1.981,5.047
65534,1.381,1.804,4.927
