Filters,Min Latency,Avg Latency,Max Latency
0,0.186,0.235,0.306
1,0.174,0.201,0.231
500,0.188,0.246,0.271
1000,0.242,0.268,0.282
1500,0.29,0.309,0.366
2000,0.316,0.325,0.372
2500,0.286,0.324,0.528
3000,0.328,0.347,0.619
3500,0.354,0.381,0.639
4000,0.353,0.368,0.391
4500,0.392,0.413,0.569
5000,0.394,0.419,0.641
5500,0.391,0.417,0.654
6000,0.434,0.46,0.61
6500,0.47,0.495,0.726
7000,0.374,0.478,0.543
7500,0.466,0.498,0.678
8000,0.494,0.505,0.531
8500,0.513,0.539,0.861
9000,0.498,0.605,1.886
9500,0.524,0.555,0.89
10000,0.595,0.614,0.697
10500,0.571,0.617,1.182
11000,0.602,0.643,1.056
11500,0.566,0.611,0.99
12000,0.672,0.71,1.095
12500,0.612,0.668,1.432
13000,0.662,0.703,1.226
13500,0.746,0.811,1.589
14000,0.663,0.728,1.407
14500,0.707,0.753,1.295
15000,0.767,0.84,1.295
15500,0.752,0.835,1.297
16000,0.767,0.812,1.015
16500,0.848,0.907,1.525
17000,0.751,0.814,1.66
17500,0.768,0.844,1.671
18000,0.907,0.975,1.714
18500,0.859,0.957,2.251
19000,0.973,1.018,1.201
19500,0.962,0.988,1.118
20000,0.908,1.007,1.825
20500,0.924,1.049,1.802
21000,0.953,1.064,1.872
21500,0.914,0.976,1.068
22000,0.963,1.132,2.226
22500,0.974,1.15,2.67
23000,1.007,1.16,1.834
23500,1.184,1.402,2.828
24000,1.12,1.341,2.965
24500,1.167,1.391,2.253
25000,1.111,1.362,3.089
25500,1.259,1.4,1.529
26000,1.241,1.474,2.397
26500,1.305,1.591,2.65
27000,1.212,1.516,2.479
27500,1.253,1.555,3.024
28000,1.237,1.459,1.685
28500,1.305,1.581,2.5
29000,1.394,1.835,2.526
29500,1.189,1.71,3.564
30000,1.42,1.737,2.17
30500,1.359,1.636,2.005
31000,1.391,1.759,2.927
31500,1.496,1.904,2.566
32000,1.635,1.992,4.072
32500,1.586,2.027,4.129
33000,1.733,2.209,3.957
33500,1.62,2.506,4.218
34000,1.626,2.083,2.583
34500,1.693,2.359,2.757
35000,1.812,2.067,2.677
35500,1.465,2.396,3.585
36000,1.836,2.468,4.42
36500,1.91,2.554,3.273
37000,2.139,2.62,3.467
37500,1.879,2.726,5.027
38000,2.48,3.119,4.704
38500,2.328,2.888,4.542
39000,2.372,2.94,4.463
39500,2.544,3.083,4.253
40000,2.149,3.081,4.866
40500,2.121,2.924,5.15
41000,2.514,3.192,4.3
41500,2.386,3.14,4.364
42000,2.77,3.268,5.651
42500,2.751,4.08,5.147
43000,2.628,3.709,5.519
43500,2.321,3.438,4.565
44000,2.948,3.911,5.06
44500,3.041,4.157,6.11
45000,3.146,3.726,6.972
45500,3.058,4.149,6.747
46000,3.928,4.609,6.168
46500,3.159,4.196,6.297
47000,3.499,4.509,6.628
47500,3.502,4.542,6.35
48000,3.785,5.005,7.15
48500,3.694,5.073,6.813
49000,3.457,4.362,5.865
49500,4.226,5.326,7.468
50000,3.637,4.81,8.213
50500,4.165,4.874,7.04
51000,4.256,4.676,7.645
51500,4.665,6.075,7.905
52000,4.657,5.629,7.765
52500,4.865,6.031,8.169
53000,5.035,5.513,7.98
53500,4.499,5.711,9.041
54000,4.409,5.871,8.241
54500,5.376,5.914,7.871
55000,5.112,6.19,8.387
55500,5.096,6.221,8.707
56000,5.864,6.611,8.632
56500,5.317,6.08,8.977
57000,5.647,6.581,9.082
57500,5.665,6.644,9.248
58000,5.99,6.559,9.396
58500,5.823,7.016,10.446
59000,7.026,7.412,9.618
59500,6.231,7.408,9.467
60000,7.387,8.119,9.948
60500,6.724,7.683,9.506
61000,6.982,7.534,9.631
61500,6.35,7.918,10.042
62000,7.133,8.179,10.401
62500,6.776,8.477,10.291
63000,6.174,8.293,10.997
63500,7.424,8.526,10.456
64000,6.773,8.572,9.845
64500,8.085,9.02,11.086
65000,6.967,8.49,9.607
65500,7.262,8.663,10.129
65534,7.376,8.528,10.281
